trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.7,0,0,0,0,13.7,0,0,0,0,417000,62968,0,0,0,417000,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.7,0,0,0,0,13.7,0,0,0,0,471100,49168,0,0,0,471100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.7,0,0,0,0,13.7,0,0,0,0,489500,199668,0,0,0,489500,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.66,0,0,0,0,13.66,0,0,0,0,576200,61168,0,0,0,576200,0,0,0,0,0,0
2022/11/2,13.65,13.65,13.65,13.65,13.86,619600,8457540,15.25,12.47,13.65,13.66,13.67,13.68,13.69,13.64,13.63,13.62,13.61,13.6,65668,76000,38100,24100,60200,5400,87400,5700,49900,88100,-0.015151515,508
2022/11/2,13.65,13.64,13.65,13.6,13.86,924700,12614110,15.25,12.47,13.65,13.66,13.67,13.68,13.69,13.64,13.61,13.6,13.59,13.58,24168,48600,45700,24100,64900,12800,1000,27700,4700,46500,-0.015873016,667
2022/11/2,13.65,13.64,13.66,13.6,13.86,1427800,19470929,15.25,12.47,13.64,13.65,13.66,13.67,13.68,13.61,13.6,13.59,13.58,13.57,107952,28800,40600,38600,16100,9000,37300,12900,77200,25000,-0.015873016,1194
2022/11/2,13.65,13.64,13.66,13.6,13.86,1621000,22104213,15.25,12.47,13.64,13.65,13.66,13.67,13.68,13.61,13.6,13.59,13.58,13.57,59552,60400,28000,38600,16400,900,48800,14000,81100,33500,-0.015873016,1364
2022/11/2,13.65,13.6,13.66,13.6,13.86,1699600,23174734,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.61,13.6,13.59,13.58,13.57,1000,70652,69000,28000,38600,8300,25300,16200,81100,36500,-0.018759019,1427
2022/11/2,13.65,13.63,13.66,13.6,13.86,1776200,24218535,15.25,12.47,13.64,13.65,13.66,13.67,13.68,13.63,13.61,13.6,13.59,13.58,46452,71900,18000,38600,16200,28800,67000,46300,20800,91100,-0.016594517,1501
2022/11/2,13.65,13.64,13.66,13.6,13.86,1840752,25098995,15.25,12.47,13.65,13.66,13.67,13.68,13.69,13.64,13.63,13.62,13.61,13.6,71000,18000,38600,16200,43300,22248,31600,500,76800,49100,-0.015873016,1558
2022/11/2,13.65,13.64,13.66,13.6,13.86,1887900,25742225,15.25,12.47,13.65,13.66,13.67,13.68,13.69,13.64,13.63,13.62,13.61,13.6,45952,18000,38600,16200,43300,300,31100,1700,88400,51400,-0.015873016,1609
2022/11/2,13.65,13.63,13.66,13.6,13.86,1934800,26381182,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.61,13.6,13.59,13.58,13.57,500,42500,45152,18000,38600,80200,51700,20400,91100,39200,-0.016594517,1652
2022/11/2,13.65,13.64,13.66,13.6,13.86,2110800,28776970,15.25,12.47,13.64,13.65,13.66,13.67,13.68,13.59,13.58,13.57,13.56,13.55,47500,44352,18000,38600,16200,20400,91100,39200,50800,116300,-0.015873016,1735
2022/11/2,13.65,13.62,13.66,13.6,13.86,2136900,29132476,15.25,12.47,13.63,13.64,13.65,13.66,13.67,13.62,13.61,13.6,13.59,13.58,14200,108200,49152,19800,38600,5400,100,4200,20700,91100,-0.017316017,1758
2022/11/2,13.65,13.62,13.66,13.6,13.86,2252600,30710192,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,6400,22000,21800,47552,19800,200,24500,26800,91100,39200,-0.017316017,1807
2022/11/2,13.65,13.62,13.66,13.6,13.86,2292300,31250502,15.25,12.47,13.62,13.63,13.64,13.65,13.66,13.61,13.6,13.59,13.58,13.57,10600,26800,15400,32352,19800,200,20100,26800,91100,39200,-0.017316017,1887
